occurrenceID,eventID.quadrat,eventDate,country,locality,site,strata,pictureID.x,replicateID,scientificName,abundance,pictureID.y,Cover,AphiaID,Match type,LSID,ScientificName_1,AphiaID_accepted,ScientificName_accepted,rank,occurrenceStatus
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001-00001,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,1,Bare rock,NA,DSCN8728,85,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001-00002,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,1,Without Substrate,NA,DSCN8728,1,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001-00003,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,1,Brachidontes rodriguezii/Brachidontes purpuratus,NA,DSCN8728,1,138215,exact,urn:lsid:marinespecies.org:taxname:138215,Brachidontes,138215,Brachidontes,Genus,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001-00004,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,1,Ulva prolifera,NA,DSCN8728,13,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00005,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,DSCN8729,2,Siphonaria lessoni,18,NA,NA,533427,phonetic,urn:lsid:marinespecies.org:taxname:533427,Siphonaria lessonii,533427,Siphonaria lessonii,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00006,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,2,Bare rock,NA,DSCN8729,22,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00007,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,2,Without Substrate,NA,DSCN8729,1,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00008,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,2,"Balanus glandula Darwin, 1854",NA,DSCN8729,2,394848,exact,urn:lsid:marinespecies.org:taxname:394848,Balanus glandula,394848,Balanus glandula,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00009,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,2,Brachidontes rodriguezii/Brachidontes purpuratus,NA,DSCN8729,2,138215,exact,urn:lsid:marinespecies.org:taxname:138215,Brachidontes,138215,Brachidontes,Genus,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00010,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,2,Ulva prolifera,NA,DSCN8729,73,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003-00011,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,3,Bare rock,NA,DSCN8730,31,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003-00012,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,3,Without Substrate,NA,DSCN8730,1,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003-00013,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,3,Ulva prolifera,NA,DSCN8730,68,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R004-00014,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R004,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,4,Bare rock,NA,DSCN8731,18,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R004-00015,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R004,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,4,Ulva prolifera,NA,DSCN8731,82,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005-00016,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,5,Bare rock,NA,DSCN8732,13,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005-00017,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,5,Without Substrate,NA,DSCN8732,1,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005-00018,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,5,Ulva prolifera,NA,DSCN8732,86,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006-00019,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,DSCN8733,6,Siphonaria lessoni,5,NA,NA,533427,phonetic,urn:lsid:marinespecies.org:taxname:533427,Siphonaria lessonii,533427,Siphonaria lessonii,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006-00020,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,6,Bare rock,NA,DSCN8733,27,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006-00021,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,6,Without Substrate,NA,DSCN8733,1,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006-00022,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,6,Brachidontes rodriguezii/Brachidontes purpuratus,NA,DSCN8733,10,138215,exact,urn:lsid:marinespecies.org:taxname:138215,Brachidontes,138215,Brachidontes,Genus,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006-00023,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,6,Ulva prolifera,NA,DSCN8733,62,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007-00024,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,DSCN8735,7,Siphonaria lessoni,14,NA,NA,533427,phonetic,urn:lsid:marinespecies.org:taxname:533427,Siphonaria lessonii,533427,Siphonaria lessonii,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007-00025,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,7,Bare rock,NA,DSCN8735,55,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007-00026,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,7,Brachidontes rodriguezii/Brachidontes purpuratus,NA,DSCN8735,15,138215,exact,urn:lsid:marinespecies.org:taxname:138215,Brachidontes,138215,Brachidontes,Genus,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007-00027,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R007,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,7,Ulva prolifera,NA,DSCN8735,30,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008-00028,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,DSCN8736,8,Mytilus edulis platensis,3,NA,NA,718572,exact,urn:lsid:marinespecies.org:taxname:718572,Mytilus edulis platensis,506158,Mytilus platensis,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008-00029,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,DSCN8736,8,Siphonaria lessoni,2,NA,NA,533427,phonetic,urn:lsid:marinespecies.org:taxname:533427,Siphonaria lessonii,533427,Siphonaria lessonii,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008-00030,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,8,Bare rock,NA,DSCN8736,79,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008-00031,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,8,Without Substrate,NA,DSCN8736,2,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008-00032,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,8,Ulva prolifera,NA,DSCN8736,17,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008-00033,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R008,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,8,Ulva sp.,NA,DSCN8736,2,144296,exact,urn:lsid:marinespecies.org:taxname:144296,Ulva,144296,Ulva,Genus,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R009-00034,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R009,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,9,Bare rock,NA,DSCN8737,79,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R009-00035,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R009,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,9,Without Substrate,NA,DSCN8737,3,NA,NA,NA,NA,NA,NA,NA,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R009-00036,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R009,2018-11-05,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,NA,9,Ulva prolifera,NA,DSCN8737,18,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera,Species,present
