ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Acanthais	395238	exact	urn:lsid:marinespecies.org:taxname:395238	Acanthais	395238	Acanthais
Acanthais brevidentata	395268	exact	urn:lsid:marinespecies.org:taxname:395268	Acanthais brevidentata	395268	Acanthais brevidentata
Acanthina monodon	377982	exact	urn:lsid:marinespecies.org:taxname:377982	Acanthina monodon	377982	Acanthina monodon
Acanthophora spicifera	211768	exact	urn:lsid:marinespecies.org:taxname:211768	Acanthophora spicifera	211768	Acanthophora spicifera
Acanthopleura echinata	386269	exact	urn:lsid:marinespecies.org:taxname:386269	Acanthopleura echinata	386269	Acanthopleura echinata
Actinostella flosculifera	289355	exact	urn:lsid:marinespecies.org:taxname:289355	Actinostella flosculifera	289355	Actinostella flosculifera
Adenocystis utricularis	325420	exact	urn:lsid:marinespecies.org:taxname:325420	Adenocystis utricularis	325420	Adenocystis utricularis
Ahanfeltiopsis durvillae	372231	phonetic	urn:lsid:marinespecies.org:taxname:372231	Ahnfeltiopsis durvillei	372231	Ahnfeltiopsis durvillei
AHNFELTIOPSIS	144164	exact	urn:lsid:marinespecies.org:taxname:144164	Ahnfeltiopsis	144164	Ahnfeltiopsis
Ahnfeltiopsis furcellata	213966	exact	urn:lsid:marinespecies.org:taxname:213966	Ahnfeltiopsis furcellata	213966	Ahnfeltiopsis furcellata
Amphiroa sp.	144003	exact	urn:lsid:marinespecies.org:taxname:144003	Amphiroa	144003	Amphiroa
Anachis nigricans	511415	exact	urn:lsid:marinespecies.org:taxname:511415	Anachis nigricans	747172	Parvanachis nigricans
Anachis reedi	511429	exact	urn:lsid:marinespecies.org:taxname:511429	Anachis reedi	511429	Anachis reedi
Anachis rugulosa	511435	exact	urn:lsid:marinespecies.org:taxname:511435	Anachis rugulosa	511435	Anachis rugulosa
Anachis sp	137802	match_deleted	urn:lsid:marinespecies.org:taxname:137802	Anachis	137802	Anachis
Anadyomene stellata	145012	exact	urn:lsid:marinespecies.org:taxname:145012	Anadyomene stellata	145012	Anadyomene stellata
Anemonia alicemartinae	283318	exact	urn:lsid:marinespecies.org:taxname:283318	Anemonia alicemartinae	283318	Anemonia alicemartinae
