ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Actiniaria	1360	exact	urn:lsid:marinespecies.org:taxname:1360	Actiniaria	1360	Actiniaria
Alaba incerta	419526	exact	urn:lsid:marinespecies.org:taxname:419526	Alaba incerta	419526	Alaba incerta
Amastigos delicatus	870850	exact	urn:lsid:marinespecies.org:taxname:870850	Amastigos delicatus	870850	Amastigos delicatus
Amathia sp.	111022	exact	urn:lsid:marinespecies.org:taxname:111022	Amathia	111022	Amathia
Anthuridae	118244	exact	urn:lsid:marinespecies.org:taxname:118244	Anthuridae	118244	Anthuridae
Araneae	150467	exact	urn:lsid:marinespecies.org:taxname:150467	Araneae	150467	Araneae
Aruga holmesi	421489	exact	urn:lsid:marinespecies.org:taxname:421489	Aruga holmesi	421489	Aruga holmesi
Bryozoa	146142	exact	urn:lsid:marinespecies.org:taxname:146142	Bryozoa	146142	Bryozoa
Bryozoa indet.	146142	exact	urn:lsid:marinespecies.org:taxname:146142	Bryozoa	146142	Bryozoa
Caecidae	126	exact	urn:lsid:marinespecies.org:taxname:126	Caecidae	126	Caecidae
Chevaliidae	430451	exact	urn:lsid:marinespecies.org:taxname:430451	Chevaliidae	430451	Chevaliidae
Chilopoda sp.	1304	exact	urn:lsid:marinespecies.org:taxname:1304	Chilopoda	1304	Chilopoda
Coleoptera	118085	exact	urn:lsid:marinespecies.org:taxname:118085	Coleoptera	118085	Coleoptera
Coleoptera sp.	118085	exact	urn:lsid:marinespecies.org:taxname:118085	Coleoptera	118085	Coleoptera
Collembola	118086	exact	urn:lsid:marinespecies.org:taxname:118086	Collembola	118086	Collembola
Copepoda sp.	1080	exact	urn:lsid:marinespecies.org:taxname:1080	Copepoda	1080	Copepoda
copepoda sp.1	1080	exact	urn:lsid:marinespecies.org:taxname:1080	Copepoda	1080	Copepoda
Corophiida	719474	exact	urn:lsid:marinespecies.org:taxname:719474	Corophiida	719474	Corophiida
Cyprididae	146873	exact	urn:lsid:marinespecies.org:taxname:146873	Cyprididae	146873	Cyprididae
Donacidae	236	exact	urn:lsid:marinespecies.org:taxname:236	Donacidae	236	Donacidae
Donax denticulatus	420902	exact	urn:lsid:marinespecies.org:taxname:420902	Donax denticulatus	420902	Donax denticulatus
Dorvilleidae	971	exact	urn:lsid:marinespecies.org:taxname:971	Dorvilleidae	971	Dorvilleidae
Emerita analoga	467695	exact	urn:lsid:marinespecies.org:taxname:467695	Emerita analoga	467695	Emerita analoga
Emerita portoricensis	421885	exact	urn:lsid:marinespecies.org:taxname:421885	Emerita portoricensis	421885	Emerita portoricensis
Emerita talpoida	158393	exact	urn:lsid:marinespecies.org:taxname:158393	Emerita talpoida	158393	Emerita talpoida
Enchelidiidae	2203	exact	urn:lsid:marinespecies.org:taxname:2203	Enchelidiidae	2203	Enchelidiidae
Enchytraeida	468017	exact	urn:lsid:marinespecies.org:taxname:468017	Enchytraeida	468017	Enchytraeida
Enchytraeidae	2038	exact	urn:lsid:marinespecies.org:taxname:2038	Enchytraeidae	2038	Enchytraeidae
Excirolana braziliensis	258413	exact	urn:lsid:marinespecies.org:taxname:258413	Excirolana braziliensis	258413	Excirolana braziliensis
