"Balanus glandula Darwin, 1854"
"Balanus glandula Darwin, 1855"
Brachidontes rodriguezii/Brachidontes purpuratus 
Bryopsis australis Sonder
Ceramium sp.
Chaetomorpha sp.
Cladophora sp.
Codium sp.
Colpomenia sinuosa (Mertens ex Roth) Derb‚s et Solier
Corallina officinalis
Dictyota dichotoma 
Ulva prolifera
Porifera sp1
Leathesia sp.
Myriogloea sp.
Leiosolenus patagonicus
Parabunodactis imperfecta
Phaeophyceae
Phaeophyceae
Polysiphonia sp.
Ralfsia sp. 
Corallinophycidae
Scytosiphon sp.
Polychaeta
Ulva sp.
Undaria pinnatifida
